Train Dataset,Test Dataset,MLPBaseLineClassifier,BOWBaseLineClassifier,KerasDenseClassifier,KerasDenseClassifierWithEmbedding,KerasDenseClassifierWithExternalEmbedding,KerasCNNClassifier,KerasCNNClassifierWithEmbedding,KerasLSTMClassifier,KerasBiLSTMClassifier,KerasGRUClassifier,KerasCNNandLSTMClassifier,KerasHANClassifier,TorchClassifier,ReptileClassifier,SiameseClassifier,TripletNetwork,PrototypicalNetwork
poi-1.5,poi-2.5,0.77,0.66,0.59,0.71,0.72,0.88,0.86,0.77,0.73,0.73,0.72,0.71,0.48,0.8,0.92,0.66,0.61
ant-1.3,ant-1.4,0.64,0.53,0.55,0.59,0.55,0.43,0.59,0.58,0.46,0.56,0.55,,,0.44,0.51,0.53,0.59
ant-1.3,ant-1.5,0.55,0.53,0.29,0.77,0.71,0.19,0.7,0.56,0.53,0.6,0.72,,,0.44,0.48,0.58,0.46
ant-1.3,ant-1.6,0.55,0.56,0.4,0.86,0.66,0.16,0.79,0.46,0.46,0.68,0.78,,,0.35,0.53,0.62,0.37
ant-1.3,ant-1.7,0.58,0.59,0.38,0.83,0.64,0.19,0.75,0.55,0.49,0.66,0.72,,,0.4,0.47,0.6,0.43
camel-1.0,camel-1.2,0.52,0.52,0.41,0.7,0.67,0.31,0.49,0.38,0.38,0.41,0.68,,,0.58,0.33,0.54,
camel-1.0,camel-1.4,0.5,0.54,0.33,0.77,0.73,0.3,0.46,0.39,0.45,0.47,0.74,,,0.62,0.28,0.59,
camel-1.0,camel-1.6,0.52,0.53,0.37,0.71,0.68,0.31,0.57,0.39,0.41,0.42,0.71,,,0.67,0.29,0.57,
jedit-3.2,jedit-4.0,0.7,0.71,0.77,0.84,0.69,0.78,0.8,0.68,0.74,0.69,0.8,,,0.77,0.79,,
jedit-3.2,jedit-4.1,0.67,0.7,0.72,0.86,0.69,0.79,0.81,0.72,0.68,0.72,0.76,,,0.78,0.76,,
jedit-3.2,jedit-4.2,0.65,0.73,0.74,0.85,0.61,0.76,0.78,0.65,0.61,0.67,0.73,,,0.76,0.73,,
jedit-3.2,jedit-4.3,0.72,0.56,0.58,0.71,0.51,0.8,0.85,0.7,0.57,0.58,0.71,,,0.61,0.79,,
log4j-1.0,log4j-1.1,0.63,0.73,0.76,0.86,0.81,0.74,0.82,0.64,0.76,0.7,0.75,,,0.73,0.78,,
log4j-1.0,log4j-1.2,0.53,0.56,0.38,0.42,0.29,0.72,0.54,0.49,0.5,0.16,0.44,,,0.42,0.7,,
lucene-2.0,lucene-2.2,0.6,0.64,0.6,0.7,0.67,0.69,0.65,0.62,0.62,0.62,0.59,,,0.58,0.63,,
lucene-2.0,lucene-2.4,0.61,0.59,0.6,0.76,0.7,0.67,0.7,0.66,0.53,0.62,0.61,,,0.55,0.66,,
poi-1.5,poi-2.0,0.49,0.5,0.58,0.68,0.56,0.44,0.45,0.38,0.45,0.49,0.4,,,0.39,0.39,,
poi-1.5,poi-3.0,0.66,0.57,0.55,0.77,0.78,0.85,0.81,0.65,0.68,0.72,0.65,,,0.68,0.75,,
synapse-1.0,synapse-1.1,0.53,0.57,0.35,0.74,0.65,0.29,0.64,0.41,0.45,0.64,0.6,,,0.51,0.31,,
synapse-1.0,synapse-1.2,0.58,0.58,0.47,0.76,0.67,0.33,0.77,0.4,0.49,0.62,0.64,,,0.47,0.34,,
velocity-1.4,velocity-1.5,0.45,0.51,0.51,0.33,0.26,0.6,0.4,0.6,0.64,0.41,0.34,,,0.4,0.64,,
velocity-1.4,velocity-1.6,0.53,0.51,0.64,0.37,0.3,0.66,0.5,0.63,0.53,0.44,0.34,,,0.41,0.68,,
xalan-2.4,xalan-2.5,0.54,0.56,0.57,0.62,0.59,0.6,0.65,0.58,0.54,0.59,0.56,,,0.42,0.55,,
xalan-2.4,xalan-2.6,0.59,0.57,0.4,0.77,0.67,0.58,0.69,0.63,0.45,0.68,0.67,,,0.53,0.56,,
xalan-2.4,xalan-2.7,0.6,0.62,0.0,0.83,0.96,0.63,0.97,0.83,0.78,0.77,0.95,,,0.31,0.21,,
xerces-1.1,xerces-1.2,0.52,0.67,0.55,0.73,0.58,0.65,0.62,0.48,0.57,0.53,0.49,,,0.42,0.63,,
xerces-1.1,xerces-1.3,0.41,0.52,0.44,0.64,0.4,0.46,0.33,0.32,0.41,0.57,0.23,,,0.68,0.39,,
xerces-1.1,xerces-1.4.4,0.46,0.15,0.18,0.16,0.31,0.35,0.13,0.22,0.18,0.43,0.29,,,0.81,0.13,,
