Train Dataset,Test Dataset,MLPBaseLineClassifier,BOWBaseLineClassifier,KerasDenseClassifier,KerasDenseClassifierWithEmbedding,KerasDenseClassifierWithExternalEmbedding,KerasCNNClassifier,KerasCNNClassifierWithEmbedding,KerasLSTMClassifier,KerasBiLSTMClassifier,KerasGRUClassifier,KerasCNNandLSTMClassifier,KerasHANClassifier,TorchClassifier,ReptileClassifier,SiameseClassifier,TripletNetwork,PrototypicalNetwork,KerasMAMLClassifier1,KerasMAMLClassifier2
poi-1.5,poi-2.5,0.85,0.97,1.0,0.37,0.68,1.0,0.61,0.58,0.94,0.68,0.77,0.82,0.56,0.45,1.0,1.0,0.63,1.0,
ant-1.3,ant-1.4,0.39,0.17,0.0,0.17,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,0.36,0.0,0.0,0.44,1.0,0.0
ant-1.3,ant-1.5,0.25,0.11,0.0,0.46,0.43,0.0,0.0,0.0,0.0,0.0,0.0,,,0.68,0.0,0.0,0.43,1.0,0.0
ant-1.3,ant-1.6,0.28,0.15,0.0,0.47,0.37,0.0,0.05,0.0,0.0,0.0,0.0,,,0.85,0.0,0.0,0.22,1.0,0.0
ant-1.3,ant-1.7,0.31,0.23,0.01,0.42,0.34,0.0,0.05,0.0,0.0,0.0,0.0,,,0.83,0.0,0.0,0.31,1.0,0.0
camel-1.0,camel-1.2,0.06,0.06,0.0,0.02,0.63,0.0,0.0,0.0,0.0,0.0,0.0,,,0.18,0.0,0.0,,1.0,0.0
camel-1.0,camel-1.4,0.06,0.1,0.0,0.02,0.79,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,0.0,0.0,,0.0,0.0
camel-1.0,camel-1.6,0.09,0.08,0.0,0.02,0.74,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07,0.0,0.0,,0.0,0.0
jedit-3.2,jedit-4.0,0.66,0.66,0.28,0.6,0.36,0.45,0.3,0.43,0.51,0.25,0.54,,,0.85,0.67,,,0.0,0.0
jedit-3.2,jedit-4.1,0.62,0.63,0.22,0.63,0.38,0.47,0.35,0.53,0.51,0.4,0.5,,,0.44,0.66,,,0.0,0.0
jedit-3.2,jedit-4.2,0.67,0.73,0.4,0.77,0.46,0.42,0.4,0.38,0.38,0.31,0.46,,,0.52,0.69,,,0.0,0.0
jedit-3.2,jedit-4.3,0.82,0.45,0.27,0.64,0.27,0.36,0.64,0.64,0.18,0.45,0.27,,,0.73,0.82,,,0.0,0.0
log4j-1.0,log4j-1.1,0.44,0.59,0.5,0.62,0.71,0.0,0.62,0.0,0.15,0.41,0.62,,,0.44,0.32,,,0.0,
log4j-1.0,log4j-1.2,0.18,0.24,0.19,0.21,0.39,0.0,0.21,0.0,0.06,0.23,0.28,,,0.71,0.03,,,0.0,
lucene-2.0,lucene-2.2,0.51,0.62,0.35,0.72,0.55,0.57,0.61,0.71,0.99,0.52,0.72,,,0.65,0.69,,,0.0,
lucene-2.0,lucene-2.4,0.55,0.56,0.35,0.73,0.56,0.58,0.66,0.75,0.99,0.54,0.74,,,0.73,0.74,,,0.0,
poi-1.5,poi-2.0,0.65,0.68,0.97,0.65,0.57,1.0,0.35,0.38,0.92,0.62,0.57,,,0.19,1.0,,,1.0,
poi-1.5,poi-3.0,0.77,0.9,0.99,0.35,0.55,1.0,0.54,0.52,0.95,0.55,0.66,,,0.3,0.99,,,1.0,
synapse-1.0,synapse-1.1,0.2,0.18,0.02,0.07,0.42,0.0,0.03,0.0,0.0,0.0,0.0,,,0.25,0.0,,,0.0,
synapse-1.0,synapse-1.2,0.29,0.17,0.01,0.1,0.41,0.0,0.01,0.0,0.0,0.0,0.0,,,0.17,0.0,,,0.0,
velocity-1.4,velocity-1.5,0.81,0.97,1.0,0.99,0.79,1.0,1.0,1.0,1.0,1.0,1.0,,,0.92,1.0,,,0.0,
velocity-1.4,velocity-1.6,0.91,0.99,1.0,0.99,0.67,1.0,1.0,1.0,1.0,1.0,1.0,,,0.86,1.0,,,0.0,
